FIPS_Code	State_Abbrv	Rate
20175	KS	161
20177	KS	181
20179	KS	161
20181	KS	161
20183	KS	161
20185	KS	161
20187	KS	161
20189	KS	161
20191	KS	161
20193	KS	161
20195	KS	161
20197	KS	181
20199	KS	161
20201	KS	181
20203	KS	161
20205	KS	161
20207	KS	181
20209	KS	175
21001	KY	163
21003	KY	181
21005	KY	163
21007	KY	167
21009	KY	181
21011	KY	163
21013	KY	163
21015	KY	163
21017	KY	163
21019	KY	163
21021	KY	163
21023	KY	163
21025	KY	163
21027	KY	181
21029	KY	181
21031	KY	167
21033	KY	167
21035	KY	167
21037	KY	163
21039	KY	167
21041	KY	181
21043	KY	163
21045	KY	163
21047	KY	167
21049	KY	163
21051	KY	163
21053	KY	163
21055	KY	167
21057	KY	181
21059	KY	167
21061	KY	181
21063	KY	163
21065	KY	163
21067	KY	163
21069	KY	163
21071	KY	163
21073	KY	163
21075	KY	167
21077	KY	163
21079	KY	163
21081	KY	163
21083	KY	167
21085	KY	181
21087	KY	181
21089	KY	163
21091	KY	167
21093	KY	181
21095	KY	163
21097	KY	163
21099	KY	181
21101	KY	167
21103	KY	181
21105	KY	167
21107	KY	167
21109	KY	163
21111	KY	181
21113	KY	163
21115	KY	163
21117	KY	163
21119	KY	163
21121	KY	163
21123	KY	181
21125	KY	163
21127	KY	163
21129	KY	163
21131	KY	163
21133	KY	163
21135	KY	163
21137	KY	163
21139	KY	167
21141	KY	167
21143	KY	167
21145	KY	167
21147	KY	163
21149	KY	167
21151	KY	163
21153	KY	163
21155	KY	181
21157	KY	167
21159	KY	163
21161	KY	163
21163	KY	181
21165	KY	163
21167	KY	163
21169	KY	181
21171	KY	181
21173	KY	163
21175	KY	163
21177	KY	167
21179	KY	181
21181	KY	163
21183	KY	167
21185	KY	181
21187	KY	163
21189	KY	163
21191	KY	163
21193	KY	163
21195	KY	163
21197	KY	163
21199	KY	163
21201	KY	163
21203	KY	163
21205	KY	163
21207	KY	163
21209	KY	163
21211	KY	181
21213	KY	167
21215	KY	181
21217	KY	181
21219	KY	167
21221	KY	167
21223	KY	181
21225	KY	167
21227	KY	167
21229	KY	181
21231	KY	163
21233	KY	167
21235	KY	163
21237	KY	163
21239	KY	163
22001	LA	127
22003	LA	127
22005	LA	139
22007	LA	139
22009	LA	127
22011	LA	127
22013	LA	128
22015	LA	128
22017	LA	128
22019	LA	127
22021	LA	128
22023	LA	127
22025	LA	139
22027	LA	128
22029	LA	139
22031	LA	128
22033	LA	139
22035	LA	128
22037	LA	139
22039	LA	127
22041	LA	128
22043	LA	128
22045	LA	127
22047	LA	139
22049	LA	128
22051	LA	151
22053	LA	127
22055	LA	127
22057	LA	151
22059	LA	127
22061	LA	128
22063	LA	139
22065	LA	139
22067	LA	128
22069	LA	128
22071	LA	151
22073	LA	128
22075	LA	151
22077	LA	139
22079	LA	127
22081	LA	128
22083	LA	128
22085	LA	128
22087	LA	151
22089	LA	151
22091	LA	139
22093	LA	139
22095	LA	151
22097	LA	127
22099	LA	127
22101	LA	127
22103	LA	151
22105	LA	139
22107	LA	139
22109	LA	151
22111	LA	128
22113	LA	127
22115	LA	127
22117	LA	151
22119	LA	128
22121	LA	139
22123	LA	128
